,Open,High,Low,Close,Adj Close,Volume
0,5021.5,5976.0,5000.9501953125,5900.64990234375,5900.64990234375,0
1,5903.7998046875,6011.9501953125,5394.35009765625,5762.75,5762.75,0
2,5765.4501953125,6185.39990234375,5676.7001953125,6138.60009765625,6138.60009765625,0
3,6136.75,6357.10009765625,4448.5,5137.4501953125,5137.4501953125,0
4,5140.60009765625,5545.2001953125,4803.60009765625,5223.5,5223.5,0
5,5222.7998046875,5222.7998046875,4468.5498046875,4734.5,4734.5,0
6,4735.64990234375,5230.75,4628.75,5165.89990234375,5165.89990234375,0
7,5265.2998046875,5298.85009765625,4801.89990234375,4870.10009765625,4870.10009765625,0
8,4869.25,4908.7998046875,4021.699951171875,4040.550048828125,4040.550048828125,0
9,4039.75,4539.4501953125,3790.199951171875,4332.9501953125,4332.9501953125,0
10,4331.60009765625,4649.85009765625,4201.85009765625,4360.0,4360.0,0
11,4356.10009765625,4558.0,3715.050048828125,3921.199951171875,3921.199951171875,0
12,3921.85009765625,4000.5,2252.75,2885.60009765625,2885.60009765625,0
13,2885.39990234375,3240.550048828125,2502.89990234375,2755.10009765625,2755.10009765625,0
14,2755.14990234375,3110.449951171875,2570.699951171875,2959.14990234375,2959.14990234375,0
15,2963.300048828125,3147.199951171875,2661.64990234375,2874.800048828125,2874.800048828125,0
16,2872.35009765625,2969.75,2677.550048828125,2763.64990234375,2763.64990234375,0
17,2764.60009765625,3123.35009765625,2539.449951171875,3020.949951171875,3020.949951171875,0
18,3023.85009765625,3517.25,2965.699951171875,3473.949951171875,3473.949951171875,0
19,3478.699951171875,4509.39990234375,3478.699951171875,4448.9501953125,4448.9501953125,0
20,4450.39990234375,4693.2001953125,4143.25,4291.10009765625,4291.10009765625,0
21,4292.2998046875,4669.75,3918.75,4636.4501953125,4636.4501953125,0
22,4633.7998046875,4743.75,4353.4501953125,4662.10009765625,4662.10009765625,0
23,4662.2001953125,5087.60009765625,4576.60009765625,5083.9501953125,5083.9501953125,0
24,5087.2001953125,5181.9501953125,4687.5,4711.7001953125,4711.7001953125,0
25,4712.25,5138.0,4538.5,5032.7001953125,5032.7001953125,0
26,5039.7001953125,5221.85009765625,4943.9501953125,5201.0498046875,5201.0498046875,0
27,5200.89990234375,5310.85009765625,4766.0,4882.0498046875,4882.0498046875,0
28,4882.0498046875,4992.0,4675.39990234375,4922.2998046875,4922.2998046875,0
29,4935.60009765625,5329.5498046875,4935.35009765625,5249.10009765625,5249.10009765625,0
30,5249.2001953125,5399.64990234375,5160.89990234375,5278.0,5278.0,0
31,5278.39990234375,5278.7001953125,4786.4501953125,5086.2998046875,5086.2998046875,0
32,5086.25,5366.75,4961.0498046875,5312.5,5312.5,0
33,5312.0498046875,5477.5,5225.60009765625,5367.60009765625,5367.60009765625,0
34,5369.5498046875,5549.7998046875,5348.89990234375,5402.39990234375,5402.39990234375,0
35,5403.0498046875,6073.5,5403.0498046875,6029.9501953125,6029.9501953125,0
36,6030.2998046875,6284.10009765625,5937.10009765625,6017.7001953125,6017.7001953125,0
37,6092.2998046875,6338.5,5690.35009765625,5862.7001953125,5862.7001953125,0
38,5871.0,6147.2998046875,5721.14990234375,6134.5,6134.5,0
39,6177.4501953125,6181.0498046875,5416.64990234375,5505.89990234375,5505.89990234375,0
40,5537.2998046875,5599.25,5177.7001953125,5333.25,5333.25,0
41,5382.0,5872.0,5348.2001953125,5833.75,5833.75,0
42,5835.0,5944.4501953125,5693.25,5749.5,5749.5,0
43,5766.89990234375,5775.25,5328.7001953125,5473.10009765625,5473.10009765625,0
44,5561.0498046875,5657.89990234375,5195.89990234375,5647.39990234375,5647.39990234375,0
45,5705.75,5740.39990234375,5453.9501953125,5482.0,5482.0,0
46,5527.5,5551.89990234375,4720.0,5001.0,5001.0,0
47,5109.7998046875,5169.25,4758.85009765625,4943.25,4943.25,0
48,4874.39990234375,5399.7001953125,4728.2998046875,5326.60009765625,5326.60009765625,0
49,5278.60009765625,5326.4501953125,4640.9501953125,4832.0498046875,4832.0498046875,0
50,4970.85009765625,5099.25,4531.14990234375,4624.2998046875,4624.2998046875,0
51,4675.7998046875,5217.0,4675.7998046875,5199.25,5199.25,0
52,5198.14990234375,5629.9501953125,5159.0,5385.2001953125,5385.2001953125,0
53,5366.0,5499.39990234375,5135.9501953125,5295.5498046875,5295.5498046875,0
54,5296.35009765625,5378.75,5154.2998046875,5248.14990234375,5248.14990234375,0
55,5254.2998046875,5279.60009765625,4788.9501953125,4924.25,4924.25,0
56,4910.85009765625,5286.25,4770.35009765625,5278.89990234375,5278.89990234375,0
57,5283.85009765625,5348.5498046875,5032.39990234375,5229.0,5229.0,0
58,5220.7001953125,5448.60009765625,5164.64990234375,5258.5,5258.5,0
59,5276.5,5735.14990234375,5215.7001953125,5703.2998046875,5703.2998046875,0
60,5704.75,5815.35009765625,4888.2001953125,5619.7001953125,5619.7001953125,0
61,5609.85009765625,5885.25,5548.35009765625,5879.85009765625,5879.85009765625,0
62,5878.25,5965.14990234375,5823.14990234375,5905.10009765625,5905.10009765625,0
63,5982.60009765625,6111.7998046875,5940.60009765625,6034.75,6034.75,1293100
64,6040.9501953125,6052.9501953125,5671.89990234375,5693.0498046875,5693.0498046875,3081200
65,5702.4501953125,5971.2001953125,5604.85009765625,5682.5498046875,5682.5498046875,2879100
66,5697.35009765625,5962.2998046875,5477.2001953125,5930.2001953125,5930.2001953125,2725300
67,5911.39990234375,6229.4501953125,5910.9501953125,5985.9501953125,5985.9501953125,3077100
68,5997.35009765625,6011.0,5566.25,5842.2001953125,5842.2001953125,2981700
69,5834.10009765625,6093.35009765625,5675.75,5742.0,5742.0,3519500
70,5776.89990234375,5808.5,5118.85009765625,5471.7998046875,5471.7998046875,5011800
71,5480.25,6142.5,5318.89990234375,5735.2998046875,5735.2998046875,4485900
72,5756.10009765625,6309.0498046875,5700.9501953125,6299.14990234375,6299.14990234375,3840600
73,6289.75,6332.60009765625,5972.4501953125,6176.10009765625,6176.10009765625,3008100
74,6171.14990234375,6415.25,6129.9501953125,6304.0,6304.0,3616400
75,6301.25,6358.2998046875,6027.25,6089.5,6089.5,3280800
76,6058.7998046875,6282.7001953125,5933.2998046875,6276.9501953125,6276.9501953125,2688200
77,6264.35009765625,6730.0498046875,6212.25,6704.2001953125,6704.2001953125,3853200
78,6729.5,6869.85009765625,6650.39990234375,6696.39990234375,6696.39990234375,2672300
79,6709.9501953125,7563.5,6638.5498046875,7229.9501953125,7229.9501953125,4282600
80,7264.0498046875,7700.0498046875,7239.5,7611.35009765625,7611.35009765625,3619400
81,7629.0,7840.9501953125,7422.14990234375,7721.2998046875,7721.2998046875,3315500
82,7662.5,7968.25,7540.10009765625,7954.35009765625,7954.35009765625,2481800
83,7990.35009765625,8180.2001953125,7841.7998046875,7964.7998046875,7964.7998046875,2931900
84,7960.5,8330.75,7723.85009765625,8322.2001953125,8322.2001953125,2696600
85,8348.150390625,8617.0,8290.25,8588.25,8588.25,2698000
86,8605.099609375,8626.9501953125,7961.35009765625,8282.7001953125,8282.7001953125,3148800
87,8288.7001953125,8996.599609375,8065.4501953125,8808.900390625,8808.900390625,3373200
88,8802.5,8913.4501953125,8470.5,8844.599609375,8844.599609375,3430800
89,8953.849609375,9119.2001953125,8269.150390625,8491.0,8491.0,3727800
90,8483.7001953125,8841.650390625,8144.75,8181.5,8181.5,3108200
91,8230.0498046875,8489.5498046875,7997.14990234375,8433.650390625,8433.650390625,3384800
92,8417.25,8467.150390625,7940.2998046875,8368.5,8368.5,3156900
93,8376.25,8654.75,8315.400390625,8532.849609375,8532.849609375,3097900
94,8510.650390625,8621.5498046875,7667.25,7971.2998046875,7971.2998046875,3939200
95,7907.9501953125,8055.0,7539.5,7948.89990234375,7948.89990234375,3436500
96,7992.0498046875,8336.2998046875,7930.64990234375,8065.7998046875,8065.7998046875,3364200
97,8054.5498046875,8116.10009765625,7714.14990234375,7935.25,7935.25,2868500
98,7958.14990234375,7979.2998046875,7551.0498046875,7946.35009765625,7946.35009765625,3026200
99,7924.5498046875,7937.5498046875,7241.5,7563.5498046875,7563.5498046875,3781100
100,7589.5,7600.4501953125,6825.7998046875,6987.0498046875,6987.0498046875,5170500
101,7038.25,7777.60009765625,7035.10009765625,7738.39990234375,7738.39990234375,4809600
102,7718.0498046875,7992.0,7516.85009765625,7849.7998046875,7849.7998046875,3538800
103,7822.7001953125,8213.599609375,7678.35009765625,8160.10009765625,8160.10009765625,4361300
104,8179.2001953125,8308.150390625,7927.0498046875,8287.75,8287.75,4193500
105,8313.0498046875,8674.7001953125,8287.5498046875,8638.5,8638.5,3321700
106,8654.2998046875,8819.2001953125,8518.150390625,8786.2001953125,8786.2001953125,3826100
107,8793.599609375,8968.7001953125,8555.2001953125,8611.150390625,8611.150390625,3900400
108,8666.150390625,8806.9501953125,8506.150390625,8638.0,8638.0,3165200
109,8653.150390625,8669.599609375,7916.39990234375,8224.5,8224.5,4585400
110,8244.0,8274.9501953125,7893.7998046875,8185.7998046875,8185.7998046875,3118800
111,8210.099609375,8672.7001953125,8133.7998046875,8561.2998046875,8561.2998046875,4009100
112,8570.349609375,8982.150390625,8537.5,8879.599609375,8879.599609375,4398500
113,8904.400390625,9218.400390625,8860.099609375,9173.75,9173.75,4835000
114,9220.599609375,9367.150390625,9075.150390625,9304.0498046875,9304.0498046875,2931300
115,9339.849609375,9649.599609375,9269.900390625,9621.25,9621.25,4541800
116,9603.5498046875,9709.2998046875,9448.75,9520.900390625,9520.900390625,3558000
117,9587.9501953125,10114.849609375,9543.5498046875,10077.099609375,10077.099609375,3732400
118,10101.0498046875,10137.849609375,9685.5498046875,9917.900390625,9917.900390625,4168000
119,9937.650390625,10178.9501953125,9687.5498046875,9788.599609375,9788.599609375,4165300
120,9893.2998046875,10384.5,9831.0498046875,10335.2998046875,10335.2998046875,4500300
121,10390.349609375,10490.4501953125,10094.0,10226.5498046875,10226.5498046875,4650900
122,10263.7001953125,10552.400390625,10033.349609375,10530.7001953125,10530.7001953125,3504400
